t=2026-03-20T17:15:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-03-20T17:15:20+0530 lvl=info msg="using configuration at default config path" path="/Users/kjsdc-10/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-20T17:15:20+0530 lvl=info msg="open config file" path="/Users/kjsdc-10/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-20T17:15:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-20T17:15:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-20T17:15:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-20T17:15:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-20T17:15:20+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://radiosensitive-reed-contrate.ngrok-free.dev
t=2026-03-20T17:15:57+0530 lvl=warn msg="failed to open private leg" id=c125fa97f32f privaddr=localhost:8000 err="dial tcp [::1]:8000: connect: connection refused"
t=2026-03-20T17:16:20+0530 lvl=warn msg="failed to open private leg" id=8eb009f02bf9 privaddr=localhost:8000 err="dial tcp [::1]:8000: connect: connection refused"
t=2026-03-20T17:18:14+0530 lvl=info msg="join connections" obj=join id=f34697c25314 l=127.0.0.1:8000 r=103.86.91.26:53338
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=6ef932d7651f l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=99bae7481eac l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=d7d5e849ab6f l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=4d50609dbe05 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=2b4c927d8930 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=a900afe66735 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=66ee2c9c3006 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=c2b3f893641a l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:20:53+0530 lvl=info msg="join connections" obj=join id=39c2dd8ec622 l=127.0.0.1:8000 r=27.61.33.192:63329
t=2026-03-20T17:23:46+0530 lvl=info msg="join connections" obj=join id=c99f30e376eb l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65285
t=2026-03-20T17:24:19+0530 lvl=info msg="join connections" obj=join id=33b2813caafa l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:24:29+0530 lvl=info msg="join connections" obj=join id=cd8e35a383f8 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:03+0530 lvl=info msg="join connections" obj=join id=a14d85bfe9e0 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:05+0530 lvl=info msg="join connections" obj=join id=96d2a53f53a2 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:05+0530 lvl=info msg="join connections" obj=join id=5d54829693f7 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:05+0530 lvl=info msg="join connections" obj=join id=df7246299ed6 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:05+0530 lvl=info msg="join connections" obj=join id=8b4606802778 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:05+0530 lvl=info msg="join connections" obj=join id=beab1a1770ba l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:05+0530 lvl=info msg="join connections" obj=join id=1512d112d4f2 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:05+0530 lvl=info msg="join connections" obj=join id=86af951f129d l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:10+0530 lvl=info msg="join connections" obj=join id=0ac4834f6472 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:10+0530 lvl=info msg="join connections" obj=join id=81fea33dcb54 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:10+0530 lvl=info msg="join connections" obj=join id=973249e6101e l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:10+0530 lvl=info msg="join connections" obj=join id=bdd4a25820e0 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:10+0530 lvl=info msg="join connections" obj=join id=2fbd12f4120b l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:10+0530 lvl=info msg="join connections" obj=join id=99f6750c85e4 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:11+0530 lvl=info msg="join connections" obj=join id=cf8f120e79bb l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:11+0530 lvl=info msg="join connections" obj=join id=d9368d4eef51 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:11+0530 lvl=info msg="join connections" obj=join id=a5fd1e6181da l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:11+0530 lvl=info msg="join connections" obj=join id=2bc022fbacc4 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:11+0530 lvl=info msg="join connections" obj=join id=2484dc878bcd l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:11+0530 lvl=info msg="join connections" obj=join id=618ca9463d74 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:13+0530 lvl=info msg="join connections" obj=join id=4cc2f6057081 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:13+0530 lvl=info msg="join connections" obj=join id=1eb36f594042 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:13+0530 lvl=info msg="join connections" obj=join id=93bc40365c92 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:13+0530 lvl=info msg="join connections" obj=join id=ec2c37c3e8de l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:13+0530 lvl=info msg="join connections" obj=join id=7d62a62f9bd8 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:13+0530 lvl=info msg="join connections" obj=join id=0c5b12645987 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:25:13+0530 lvl=info msg="join connections" obj=join id=32bb2591f3da l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:69d9:d01c:4f8:b68c]:65292
t=2026-03-20T17:28:17+0530 lvl=info msg="join connections" obj=join id=95cac5e7f024 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:33+0530 lvl=info msg="join connections" obj=join id=5c7fb707d606 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:40+0530 lvl=info msg="join connections" obj=join id=2a9ffc76a940 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:42+0530 lvl=info msg="join connections" obj=join id=b705720c1b18 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:42+0530 lvl=info msg="join connections" obj=join id=dadc904260a2 l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
t=2026-03-20T17:28:42+0530 lvl=info msg="join connections" obj=join id=082acafce4bb l=127.0.0.1:8000 r=[2401:4900:8839:1b3a:96b:f6ca:1bf5:85bd]:53559
